Power_Station,Records,Programme_avg,Actual_avg,Programme_sum,Actual_sum,Generation_Difference_avg,Excess_Shortfall_avg,Total_Maintenance_avg,Forced_Maintenance_avg,Available_Capacity_sum,Programme_Achievement_pct,Capacity_Utilization_pct,Deviation_pct,Maintenance_Impact_Index_pct
GIPCL,1719.0,9.424066317626526,9.025456660849331,16199.97,15514.759999999998,-0.398609656777196,-0.39860965677719606,253.0890052356021,94.33682373472949,699480.0,95.77030080919903,2.2180419740378565,-4.229699190800976,38.34681897509123
GIPL,918.0,1.4613071895424836,1.6214596949891067,1341.48,1488.5,0.16015250544662313,0.16015250544662307,9.782135076252723,0.23965141612200436,129145.0,110.95953722753973,1.1525804328468001,10.959537227539732,6.501357466063348
GISL,430.0,1.1696046511627907,1.1653488372093024,502.92999999999995,501.1,-0.004255813953488344,-0.004139534883720933,19.441860465116278,0.6395348837209303,38247.0,99.63613226492754,1.3101681177608702,-0.36386773507246084,17.937219730941703
GMR BHHPL,123.0,0.7128455284552844,1.3304878048780489,87.67999999999998,163.65,0.6176422764227641,0.6176422764227641,71.70731707317073,9.268292682926829,11340.0,186.64461678832123,1.4431216931216932,86.64461678832122,43.75
GMR ENERG,3317.0,15.080871269219173,14.632041000904433,50023.25,48534.48,-0.4488302683147422,-0.4488302683147423,119.8688574012662,87.32288212239976,2359605.0,97.02384391258066,2.0568900303228723,-2.976156087419344,14.420555561600313
GPGSL (GVK),1177.0,6.320033984706882,6.702242990654206,7438.68,7888.54,0.38220900594732365,0.3822090059473237,180.53525913338999,177.7824978759558,423090.0,106.0475783337904,1.864506369803115,6.0475783337903986,33.43245539507222
GREL,6.0,1.1500000000000001,0.0,6.9,0.0,-1.1500000000000001,-1.1500000000000001,128.0,0.0,3840.0,0.0,0.0,-100.0,16.666666666666664
GVKP&IL,5.0,0.17200000000000001,0.0,0.8600000000000001,0.0,-0.17200000000000001,-0.17200000000000001,176.0,0.0,220.0,0.0,0.0,-100.0,80.0
HBPCL,1650.0,13.908169696969697,14.406909090909092,22948.48,23771.4,0.498739393939394,0.4987454545454546,15.631060606060606,1.6537878787878788,2140898.75,103.58594556153611,1.1103467644137772,3.58594556153611,1.1903525654339107
HEL,1591.0,11.719974858579512,11.939855436832183,18646.480000000003,18996.31,0.21988057825267115,0.21989943431803893,26.02137020741672,3.9597737272155875,913200.0,101.87611817351048,2.0801916338151556,1.8761181735104857,4.336895034569453
HMEL,517.0,2.5935783365570604,4.247059961315281,1340.88,2195.73,1.6534816247582205,1.6534816247582205,87.04061895551257,87.04061895551257,109950.0,163.75290853767675,1.997025920873124,63.75290853767673,29.04162633107454
HNPC,842.0,8.920261282660332,11.39857482185273,7510.860000000001,9597.599999999999,2.478313539192399,2.478313539192399,411.3064133016627,390.92636579572445,529360.0,127.78297025906484,1.8130572767115005,27.782970259064843,39.548693586698334
HSPCL,299.0,1.0544816053511707,1.0549498327759195,315.2900000000001,315.42999999999995,0.0004682274247491628,0.0004682274247491658,23.745819397993312,23.745819397993312,22400.0,100.04440356497189,1.4081696428571426,0.04440356497189021,24.06779661016949
IAEPL,623.0,0.46390048154093094,0.5167576243980739,289.01,321.94000000000005,0.052857142857142846,0.05285714285714286,0.7126805778491172,0.0,21912.0,111.39406940936303,1.4692405987586712,11.39406940936302,1.9860440150295224
IBPIL,4.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,162.5,0.0,,,,100.0
ICCL,651.0,0.5767895545314901,0.6747004608294931,375.49,439.23,0.09791090629800306,0.09786482334869431,0.0,0.0,0.0,116.97515246744254,,16.975152467442545,
IEL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0,0.0,,,,100.0
